# Matches MP con score 50-64% — revisar si la imagen es correcta
# Formato: [score] id  nombre_local  →  slug_MarketPaper

[50%] gast-15      BANDEJA HORNO RECTANGULAR 4000ML XU           → bandeja-rectangular-de-cartulina-satinada-n3-21-x-17-x-2
[50%] gast-16      BANDEJA ORO 1/2K                              → bandeja-de-aluminio-f50-15-x-13-x-4
[50%] gast-17      BANDEJA ORO 1/4K                              → bandeja-de-aluminio-f50-15-x-13-x-4
[50%] gast-18      BANDEJA ORO 16 XU                             → bandeja-de-aluminio-f50-15-x-13-x-4
[50%] gast-19      BANDEJA ORO 18 XU                             → bandeja-de-aluminio-f50-15-x-13-x-4
[50%] gast-20      BANDEJA ORO 1K                                → bandeja-de-aluminio-f50-15-x-13-x-4
[50%] gast-21      BANDEJA ORO 20 XU                             → bandeja-de-aluminio-f50-15-x-13-x-4
[50%] gast-22      BANDEJA ORO 24-23 XU                          → bandeja-de-aluminio-f50-15-x-13-x-4
[50%] gast-23      BANDEJA ORO 26 XU                             → bandeja-de-aluminio-f50-15-x-13-x-4
[50%] gast-24      BANDEJA ORO 28 XU                             → bandeja-de-aluminio-f50-15-x-13-x-4
[50%] gast-25      BANDEJA ORO 2K                                → bandeja-de-aluminio-f50-15-x-13-x-4
[50%] gast-26      BANDEJA ORO 31 XU                             → bandeja-de-aluminio-f50-15-x-13-x-4
[50%] gast-27      BANDEJA ORO 36 XU                             → bandeja-de-aluminio-f50-15-x-13-x-4
[50%] gast-28      BANDEJA ORO 3K                                → bandeja-de-aluminio-f50-15-x-13-x-4
[50%] gast-29      BANDEJA ORO 5K                                → bandeja-de-aluminio-f50-15-x-13-x-4
[60%] gast-45      BANDEJAS DESCARTABLES PLASTICAS 105 C/TAPA OVAL XU → bandejas-delivery-descartables-105-oval-micro
[60%] gast-46      BANDEJAS DESCARTABLES PLASTICAS 105 OVAL X50U → bandejas-delivery-descartables-105-oval-micro
[50%] gast-47      BANDEJAS DESCARTABLES PLASTICAS 105 REC/OVAL REFORZADA X100U → bandejas-delivery-descartables-105-oval-micro
[50%] gast-89      DISPENSER TOALLAS INTERCALADAS                → toallas-intercaladas-de-papel-blancas-elegante-19x24
[50%] gast-90      ENSALADERA CON PRECINTO XU                    → ensaladera-negra-descartable-con-tapa-900cc
[52%] gast-138     POTES 1/2 CON TAPA X50U                       → pote-650cc-con-tapa-plastico-descartable
[52%] gast-139     POTES 1/4 CON TAPA X50U                       → pote-650cc-con-tapa-plastico-descartable
[52%] gast-140     POTES 1/8 CON TAPA X50U                       → pote-650cc-con-tapa-plastico-descartable
[50%] gast-148     SERVILLETAS 18X18 X100U                       → servilletas-de-papel-blancas-24x24cm
[50%] gast-149     SERVILLETAS 33X33 X CAJA                      → servilletas-de-papel-blancas-24x24cm
[50%] gast-164     SERVILLETAS SERVETTE 24X24 X1000U             → servilletas-de-papel-blancas-24x24cm
[50%] gast-165     SERVILLETAS BOUQUET 33X33 X25U                → servilletas-de-papel-blancas-24x24cm
[50%] gast-175     TOALLAS INTERCALADAS ECONOMICAS X200          → toallas-intercaladas-de-papel-blancas-elegante-19x24
[50%] gast-176     TOALLAS INTERCALADAS AZUL X CAJA              → toallas-intercaladas-de-papel-blancas-elegante-19x24
[50%] lib-129      EZCO ROLLO BLANCO XU                          → rollo-de-papel-aluminio-profesional-38cm-x-15
