# Matches con score 50-64% — revisar si la imagen es correcta
# Formato: [score] id  nombre_local  →  slug_TAM

[60%] gast-89      DISPENSER TOALLAS INTERCALADAS                → dispenser-para-toallas-de-mano-intercaladas
[50%] gast-112     PALITOS BROCHETE 15CM X100U                   → palitos-de-helado-x-50-color
[50%] gast-113     PALITOS BROCHETE 25CM X50U                    → palitos-de-helado-x-50-color
[60%] esc-2        AVON BLOCK A6 LISO XU                         → block-a5-esquela-husares-avon-liso
[50%] esc-4        CARTELES DE GOMA EVA XU                       → goma-eva-40x60-2-mm
[50%] esc-7        CARTULINA IMPRESA                             → cartulina-color-x-1-44-x-63
[50%] esc-9        COMPAS STUDY XU                               → compas-metalico-escolar
[50%] esc-12       CRAYONES X6 JUMBO SIMBAL                      → crayones-filgo-sta-jumbo-x-12
[50%] esc-16       CUADERNO EXITO AB3 X48H T/DURA XU             → cuaderno-de-caligrafia-19-x-24-exito-24-hs-103614
[50%] esc-19       CUADERNO LAPRIDA AB3 X50H (EXITO)             → cuaderno-de-caligrafia-19-x-24-exito-24-hs-103614
[50%] esc-24       CUADERNO RIVADAVIA ABC X50H (EXITO)           → cuaderno-de-caligrafia-19-x-24-exito-24-hs-103614
[50%] esc-30       CUADERNO T/FLEXIBLE X48H AMERICA              → cuaderno-tapa-flexible-america-rayado-16x21-24-hojas
[50%] esc-32       CUTER REPUESTO CHICO X10U                     → repuesto-canson-n-3-blanco
[50%] esc-33       CUTER REPUESTO GRANDE X10U                    → repuesto-canson-n-3-blanco
[50%] esc-40       GENIO-FILGO REPUESTO ROLLER GEL BORRABLE      → repuesto-borrable-filgo-borrax-se-azul
[50%] esc-43       GOMA EVA GLITER A4 XU                         → goma-eva-40x60-2-mm
[53%] esc-50       LAPICES COLOR CORTO X6 SIMBAL                 → lapices-de-colores-x-12-cortos-filgo
[50%] esc-55       LAPRIDA REPUESTO 480H                         → repuesto-laprida-x-288-hojas-rayado
[50%] esc-56       LAPRIDA REPUESTO 48H                          → repuesto-laprida-x-288-hojas-rayado
[50%] esc-57       LAPRIDA REPUESTO A4 X48H                      → repuesto-laprida-x-288-hojas-rayado
[50%] esc-58       LAPRIDA REPUESTO N3 24H                       → repuesto-laprida-x-288-hojas-rayado
[50%] esc-61       PINCEL 12 XU                                  → pincel-fino
[50%] esc-62       PINCEL 8 XU                                   → pincel-fino
[50%] esc-63       PINCEL N-10                                   → pincel-fino
[50%] esc-64       PINCEL N6 XU                                  → pincel-fino
[50%] esc-81       RIVADAVIA REPUESTO 24H                        → repuesto-rivadavia-x-480-hojas-rayado
[50%] esc-82       RIVADAVIA REPUESTO 480H                       → repuesto-rivadavia-x-480-hojas-rayado
[50%] esc-83       RIVADAVIA REPUESTO 48H                        → repuesto-rivadavia-x-480-hojas-rayado
[50%] esc-84       SACAPUNTAS CON GOMA 2EN1 XU MAPED             → sacapuntas-con-deposito
[50%] esc-96       TIJERA XU ESCOLAR SIMBAL                      → tijera-escolar-ezco-filgo-12-cm
[50%] lib-0        ABROCHADORA KARTEC 50 PINZA XU                → abrochadora-grap-10-50-pinza-pintada
[50%] lib-1        ABROCHADORA MAPED MINI METAL 10H XU           → abrochadora-kangaro-hp-435-24-6-24-8-26-6-y-26-8
[50%] lib-4        ABROCHADORA METAL E-352                       → abrochadora-kangaro-hp-435-24-6-24-8-26-6-y-26-8
[50%] lib-7        ABROCHADORA SIMBALL CONFORT PINZA N10 XU      → abrochadora-grap-10-50-pinza-pintada
[50%] lib-9        ACRILICO XU COLORES EN PROMO                  → acrilico-eterna-ad-50-ml-colores-varios
[50%] lib-14       APRIETA PAPEL COLOR 19MM XU                   → aprieta-papel-niquelado-40-chico
[50%] lib-15       APRIETA PAPEL COLOR 25MM XU                   → aprieta-papel-niquelado-40-chico
[50%] lib-16       APRIETA PAPEL COLOR 32MM XU                   → aprieta-papel-niquelado-40-chico
[50%] lib-17       APRIETA PAPEL COLOR 41MM XU                   → aprieta-papel-niquelado-40-chico
[50%] lib-18       APRIETA PAPEL COLOR 51MM XU                   → aprieta-papel-niquelado-40-chico
[50%] lib-19       APRIETA PAPEL METALIZADO 19MM XU              → aprieta-papel-niquelado-40-chico
[50%] lib-20       APRIETA PAPEL METALIZADO 25MM XU              → aprieta-papel-niquelado-40-chico
[50%] lib-21       APRIETA PAPEL METALIZADO 32MM XU              → aprieta-papel-niquelado-40-chico
[50%] lib-28       BANDAS ELASTICAS X100G                        → bandas-elasticas-consul-x100-gramos
[50%] lib-29       BANDAS ELASTICAS X500G                        → bandas-elasticas-consul-x100-gramos
[50%] lib-34       BIBLIORATO GRIS OFICIO XU THE PEL             → bibliorato-avios-medoro-oficio-color
[60%] lib-41       BLOCK DE HOJAS RAYADAS/CUADRICULADAS A4 80H AMERICA → block-a4-avon-america-80-hojas-cuadriculado
[60%] lib-42       BLOCK DE HOJAS RAYADAS/CUADRICULADAS A5 80H AMERICA → block-a4-avon-america-80-hojas-cuadriculado
[50%] lib-43       BLOCK OFICIO AMERICA                          → block-a4-america-x-80-hojas-liso
[50%] lib-45       BROCHES ABROCHADORA MAPED/SIMBAL 24/6 X1000U  → abrochadora-kangaro-hp-65-para-broches-65
[50%] lib-60       CARPETA 3 SOLAPAS X100U                       → carpeta-interna-2-solapas-abierta
[50%] lib-63       CARPETA CARATULA X100U                        → carpeta-cartulina-caratula-oficio-color
[50%] lib-65       CARPETA INTERNA XU                            → carpeta-interna-2-solapas-abierta
[50%] lib-66       CARPETA KRAFT 3 SOLAPAS N6 XU                 → carpeta-interna-2-solapas-abierta
[50%] lib-67       CARPETA KRAFT 3 SOLAPAS XU                    → carpeta-interna-2-solapas-abierta
[50%] lib-78       CLIPS 3 X100U                                 → broches-clips-n-7-8-78mm
